Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018,change
3 Av,L,Manhattan,229,6803.0,7193.0,7140.0,7179.0,6934,6749,-185
33 St,6,Manhattan,30,32783.0,32863.0,32809.0,32153.0,30040,32608,2568
34 St-Herald    Square,WRQNMFDB,Manhattan,3,122517.0,125355.0,126776.0,125682.0,127664,126576,-1088
34    St-Hudson Yards,7,Manhattan,145,,,2064.0,8507.0,10082,10789,707
34 St-Penn    Station,321,Manhattan,6,90042.0,92693.0,92176.0,90524.0,85585,85180,-405
34 St-Penn    Station,ECA,Manhattan,7,83717.0,85634.0,84778.0,82584.0,78904,80346,1442
42 St-Bryant    Pk    /5 Av,7MFDB,Manhattan,12,53222.0,54289.0,55400.0,57793.0,57395,55872,-1523
47-50    Sts-Rockefeller Center,MFDB,Manhattan,11,61099.0,62693.0,63803.0,62283.0,61478,61027,-451
49 St,RWN,Manhattan,44,25356.0,26546.0,25459.0,27077.0,26519,25911,-608
5 Av-53 St,ME,Manhattan,36,25939.0,26761.0,26955.0,26566.0,25746,27612,1866
5 Av-59 St,RWN,Manhattan,81,18394.0,19245.0,18957.0,18637.0,16871,16638,-233
50 St,1,Manhattan,41,26192.0,27251.0,26927.0,26362.0,25932,26268,336
50 St,EC,Manhattan,69,19406.0,20993.0,20828.0,20921.0,20502,19757,-745
57 St  *,F,Manhattan,197,15363.0,15506.0,15725.0,15768.0,15154,7638,-7516
57 St-7 Av,WRQN,Manhattan,24,28159.0,29414.0,29976.0,30311.0,35390,37870,2480
59    St-Columbus Circle,1DCBA,Manhattan,8,72236.0,74572.0,73954.0,73836.0,73105,73003,-102
66 St-Lincoln    Center,1,Manhattan,56,23651.0,24311.0,24631.0,24064.0,22918,22890,-28
68 St-Hunter    College,6,Manhattan,57,36562.0,36208.0,35640.0,35068.0,24456,22757,-1699
7 Av,EDB,Manhattan,77,15800.0,16833.0,17356.0,17538.0,17334,17947,613
72 St,321,Manhattan,23,40853.0,40639.0,40506.0,40450.0,38957,39477,520
72 St  *,CB,Manhattan,310,9067.0,9361.0,9443.0,9448.0,8803,4472,-4331
72 St,Q,Manhattan,33,,,,,28145,30253,2108
