Station,lines,Borough,Rank,2013,2014,2015,2016,2017,2018
Church Av,52,Brooklyn,178,10381.0,9375.0,10219.0,9569.0,9141,8751
Church Av,QB,Brooklyn,83,20399.0,18797.0,21472.0,18017.0,19961,17461
Church Av  *,GF,Brooklyn,126,11927.0,12224.0,12511.0,13332.0,12592,12594
Clark St,32,Brooklyn,316,8326.0,8599.0,9018.0,9083.0,3708,3851
Classon Av,G,Brooklyn,263,5308.0,5606.0,6265.0,5645.0,5290,5502
Cleveland St,J,Brooklyn,362,3699.0,4104.0,4119.0,3945.0,3296,2657
Clinton-Washington    Avs,C,Brooklyn,216,7642.0,6753.0,7011.0,7119.0,7224,7035
Clinton-Washington    Avs,G,Brooklyn,288,6097.0,6170.0,6501.0,5585.0,4806,4723
Coney    Island-Stillwell Av,QNFD,Brooklyn,57,23726.0,26733.0,27415.0,25961.0,24556,22536
Cortelyou Rd *,Q,Brooklyn,209,6294.0,6328.0,6892.0,6666.0,7610,7263
Court St /Borough Hall,5432R,Brooklyn,51,28081.0,28947.0,28593.0,25365.0,25259,24195
Crescent St,ZJ,Brooklyn,253,5804.0,6020.0,6122.0,5999.0,6243,5792
Crown    Heights-Utica Av,43,Brooklyn,40,26704.0,27343.0,33065.0,29939.0,29038,26901
Cypress Hills,J,Brooklyn,420,1236.0,1517.0,1503.0,1447.0,973,725
DeKalb Av,RQB,Brooklyn,65,15046.0,16016.0,15096.0,15729.0,21434,21357
DeKalb Av,L,Brooklyn,107,13823.0,16197.0,15430.0,16098.0,15805,14323
Ditmas Av  *,F,Brooklyn,358,4813.0,4728.0,3113.0,2789.0,2851,2765
East 105 St,L,Brooklyn,347,3466.0,3679.0,3041.0,2961.0,3393,3151
Eastern    Pkwy-Brooklyn Museum,32,Brooklyn,219,7794.0,7835.0,7943.0,7107.0,6810,6813
Euclid Av,CA,Brooklyn,146,12329.0,11016.0,12954.0,12563.0,12594,10629
Flatbush    Av-Brooklyn College,52,Brooklyn,104,17982.0,16274.0,17805.0,16443.0,15653,14507
Flushing Av,G,Brooklyn,376,2256.0,2529.0,2716.0,2700.0,2182,2224
Flushing Av,MJ,Brooklyn,205,9788.0,9012.0,10573.0,9328.0,8914,7584
Fort Hamilton    Pkwy,D,Brooklyn,333,4101.0,4258.0,3832.0,4002.0,3884,3405
Fort Hamilton    Pkwy *,GF,Brooklyn,269,5153.0,5345.0,5908.0,5608.0,5347,5318
Fort Hamilton Pkwy *,N,Brooklyn,363,7454.0,7885.0,7072.0,1809.0,3201,2656
